Company,9/30/2008
C E C O ENVIRONMENTAL CORP,-16.8
C F INDUSTRIES HOLDINGS INC,-40.0
C G G,-22.7
C I G N A CORP,-18.9
C I M COMMERCIAL TRUST CORP,-8.2
C K X LANDS INC,-8.4
C M E GROUP INC,12.6
C M G I INC,-18.5
C M S ENERGY CORP,-8.1
C N A FINANCIAL CORP,-6.4
C N B FINANCIAL CORP PA,-18.1
C N O FINANCIAL GROUP INC,-60.8
C N O O C LTD,-24.8
C P F L ENERGIA S A,-11.2
C P I AEROSTRUCTURES INC,-3.0
C R A INTERNATIONAL INC,-31.1
C R H PLC,-18.1
C S G SYSTEMS INTERNATIONAL INC,-7.2
C S P INC,-13.0
C S S INDUSTRIES INC,-3.4
C S X CORP,-15.6
C T I BIOPHARMA CORP,-68.4
C T I INDUSTRIES CORP,0.0
C T S CORP,-3.2
C V B FINANCIAL CORP,30.1
C V D EQUIPMENT CORP,-17.6
C V S CAREMARK CORP,-8.0
CABELAS INC,-1.4
CABELTEL INTL CORP,26.1
CABOT CORP,14.9
CABOT MICROELECTRONICS CORP,-16.9
CABOT OIL & GAS CORP,-18.7
CACI INTERNATIONAL INC,-1.1
CADENCE DESIGN SYSTEMS INC,-15.4
CADIZ INC,-2.3
CAL MAINE FOODS INC,-30.5
CALAMOS ASSET MANAGEMENT INC,-16.4
CALAMOS CONV OPPORT & IN FD,-19.0
CALAMOS CONVERTIBLE & HI INC FD,-22.8
CALAMOS GLOBAL TOTAL RETURN FUND,-20.9
CALAMOS STRATEGIC TOT RETURN FD,-19.4
CALAMP CORP,-34.0
CALATLANTIC GROUP INC,53.4
CALAVO GROWERS INC,2.6
CALGON CARBON CORP,-4.5
CALIFORNIA FIRST NATIONAL BANCOR,-12.2
CALIFORNIA WATER SERVICE GROUP,-2.0
CALLAWAY GOLF CO,4.1
CALLIDUS SOFTWARE INC,-16.6
CALLON PETROLEUM CO DEL,-9.3
CALUMET SPECIALTY PRODS PTNRS LP,-13.6
CAMBREX CORP,-5.5
CAMDEN NATIONAL CORP,7.9
CAMDEN PROPERTY TRUST,-4.6
CAMECO CORP,-25.6
CAMPBELL SOUP CO,4.9
CAMTEK LTD,-6.7
CANADIAN IMPERIAL BANK COMMERCE,-0.5
CANADIAN NATIONAL RAILWAY CO,-8.5
CANADIAN NATURAL RESOURCES LTD,-19.4
CANADIAN PACIFIC RAILWAY LTD,-10.9
CANADIAN SOLAR INC,-39.8
CANON INC,-15.6
CANTEL MEDICAL CORP,0.3
CANTERBURY PARK HOLDING CORP,-12.7
CAPELLA EDUCATION CO,-13.8
CAPITAL CITY BANK GROUP,30.1
CAPITAL ONE FINANCIAL CORP,15.5
CAPITAL SENIOR LIVING CORP,-3.4
CAPITAL SOUTHWEST CORP,6.2
CAPITOL FEDERAL FINANCIAL,1.4
CAPSTEAD MORTGAGE CORP,-2.0
CAPSTONE TURBINE CORP,-52.6
CARBO CERAMICS INC,-14.1
CARDICA INC,0.0
CARDINAL FINANCIAL CORP,-4.8
CARDINAL HEALTH INC,-10.1
CARDIOME PHARMA CORP,-13.5
CARDIOVASCULAR SYSTEMS INC DEL,-2.4
CAREER EDUCATION CORP,-12.8
CARLISLE COMPANIES,-7.5
CARMAX INC,-5.4
CARNIVAL CORP,-4.6
CARNIVAL PLC,-10.6
CAROLINA BANK HOLDINGS INC,-3.3
CAROLINA TRUST BANCSHARES INC,8.2
CARPENTER TECHNOLOGY CORP,-33.9
CARRIAGE SERVICES INC,-19.5
CARRIZO OIL & GAS INC,-26.9
CARROLS RESTAURANT GROUP INC,-47.4
CARTERS INC,7.2
CARTESIAN INC,-16.7
CARVER BANCORP INC,-12.2
CASCADE BANCORP,11.4
CASELLA WASTE SYSTEMS INC,-11.8
CASEYS GENERAL STORES INC,4.0
CASI PHARMACEUTICALS INC,-21.3
CASS INFORMATION SYSTEMS INC,-1.2
CASTLE BRANDS INC,-18.5
CASUAL MALE RETAIL GROUP INC,2.9
CATALYST BIOSCIENCES INC,-36.5
CATALYST PHARMACEUTICAL PTNRS IN,-27.5
CATERPILLAR INC,-15.7
CATHAY GENERAL BANCORP,22.9
CATO CORP NEW,0.6
CAVCO INDUSTRIES INC DEL,3.3
CBIZ INC,-0.6
CBRE CLARION GLOB RL EST INC FD,-28.7
CEDAR FAIR L P,-1.4
CEDAR REALTY TRUST INC,0.9
CEL SCI CORP,-33.3
CELADON GROUP INC,-10.9
CELANESE CORP DEL,-27.6
CELESTICA INC,-23.3
CELGENE CORP,-8.7
CELSION CORP,-19.6
CEMEX S A B DE C V,-14.1
CENTENE CORP DEL,-9.2
CENTENNIAL BANK HOLDINGS INC,8.3
CENTER BANCORP INC,-4.2
CENTERPOINT ENERGY INC,-8.2
CENTERSTATE BANKS INC,25.3
CENTRAL EUROPE & RUSSIA FUND INC,-25.4
CENTRAL EUROPEAN MEDIA ENT LTD,-16.1
CENTRAL FEDERAL CORP,-4.8
CENTRAL FUND CANADA LTD,1.3
CENTRAL GARDEN & PET CO,4.8
CENTRAL PACIFIC FINANCIAL CORP,41.3
CENTRAL SECURITIES CORP,-10.4
CENTRAL VALLEY COMM BANCORP,-18.1
CENTRUS ENERGY CORP,-6.1
CENTURY ALUMINUM CO,-43.2
CENTURY BANCORP INC,-16.6
CENTURY CASINOS INC,-17.0
CENTURYLINK INC,-3.3
CENVEO INC,-25.8
CERAGON NETWORKS LTD,-16.6
CERNER CORP,-3.1
CERUS CORPORATION,-7.4
CESCA THERAPEUTICS INC,-26.5
CEVA INC,-12.6
CH ROBINSON WORLDWIDE INC,-1.8
CHARLES & COLVARD LTD,-4.8
CHARLES RIVER LABS INTL INC,-15.4
CHART INDUSTRIES INC,-38.2
CHARTWELL DIVIDEND & INC FD INC,-23.1
CHASE CORP,-27.7
CHECK POINT SOFTWARE TECHS LTD,-7.1
CHEESECAKE FACTORY INC,-4.9
CHEMED CORP NEW,-6.1
CHEMICAL FINANCIAL CORP,9.0
CHENIERE ENERGY INC,-40.2
CHEROKEE INC DEL NEW,-0.2
CHESAPEAKE ENERGY CORP,-25.8
CHESAPEAKE UTILITIES CORP,10.7
CHEVRON CORP NEW,-4.4
CHICAGO BRIDGE & IRON CO N V,-39.8
CHICAGO RIVET & MACH CO,-4.0
CHICOS FAS INC,-4.7
CHILDRENS PLACE INC,-20.5
CHINA AUTOMOTIVE SYSTEMS INC,-23.1
CHINA B A K BATTERY INC,-11.3
CHINA FIN ONLINE CO LTD,-38.4
CHINA FUND INC,-7.5
CHINA LIFE INSURANCE CO LTD,-2.9
CHINA MOBILE LTD,-10.2
CHINA NATURAL RESOURCES INC,-26.7
CHINA PETRO & CHEMICAL CORP,-19.0
CHINA TECHFAITH WIRLSS COMM TECH,-34.6
CHINA YUCHAI INTERNATIONAL LTD,-25.0
CHIPOTLE MEXICAN GRILL INC,-20.0
CHOICE HOTELS INTERNATIONAL INC,0.4
CHRISTOPHER AND BANKS CORP,-19.6
CHUNGHWA TELECOM CO LTD,-4.3
CHURCH & DWIGHT INC,-0.7
CHURCHILL DOWNS INC,10.3
CIBER INC,-10.7
CIENA CORP,-42.0
CIMAREX ENERGY CO,-11.9
CIMPRESS N V,-1.2
CINCINNATI BELL INC NEW,-20.8
CINCINNATI FINANCIAL CORP,-2.7
CINTAS CORP,-6.8
CIRCOR INTERNATIONAL INC,-27.9
CIRRUS LOGIC INC,-12.2
CISCO SYSTEMS INC,-6.2
CITI TRENDS INC,-21.0
CITIGROUP INC,8.0
CITIZENS & NORTHERN CORP,15.4
CITIZENS CMNTY BANCORP INC MD,-8.9
CITIZENS COMMUNICATIONS CO,-6.5
CITIZENS FIRST CORP,-18.4
CITIZENS HOLDING CO,-16.5
CITIZENS INC,15.4
CITRIX SYSTEMS INC,-16.6
CITY HOLDING CO,1.1
CIVISTA BANCSHARES INC,-11.9
CLARCOR INC,-5.0
CLAYMORE DIVIDEND & INCOME FD,-48.3
CLAYMORE E T F TRUST,-19.1
CLAYMORE E T F TRUST,-11.5
CLAYMORE E T F TRUST,-11.3
CLAYMORE E T F TRUST,-9.5
CLAYMORE E T F TRUST,-17.5
CLAYMORE E T F TRUST,-8.5
CLAYTON WILLIAMS ENERGY INC,-12.9
CLEAN HARBORS INC,-16.7
CLEAR CHANNEL OUTDOOR HLDGS INC,-18.4
CLEVELAND BIOLABS INC,-13.6
CLEVELAND CLIFFS INC,-47.7
CLIFTON BANCORP INC,8.8
CLOROX CO,6.1
CLOUGH GLOBAL ALLOCATION FUND,-24.6
CLOUGH GLOBAL EQUITY FUND,-21.2
CLOUGH GLOBAL OPPORTUNITIES FUND,-20.5
COACH INC,-13.6
COBIZ FINANCIAL INC,11.9
COCA COLA BOTTLING CO CONS,7.6
COCA COLA CO,2.3
COCA COLA FEMSA S A B DE C V,-11.1
CODORUS VALLEY BANCORP INC,-1.4
COEUR D ALENE MINES CORP ID,-14.5
COFFEE HOLDING CO INC,19.4
COGENT COMMUNICATIONS GROUP INC,-16.2
COGENTIX MEDICAL INC,-2.4
COGNEX CORP,-0.3
COGNIZANT TECHNOLOGY SOLS CORP,-22.1
COHEN & STEERS CLOSED END OPP FD,-19.8
COHEN & STEERS INC,-1.9
COHEN & STEERS INFRA FD INC,-27.2
COHEN & STEERS QLTY INCOME RLTY,-18.5
COHEN & STEERS REIT & PFD INC FD,-30.8
COHEN & STEERS TOTAL RT RL FD IN,-14.5
COHU INC,-4.9
COLGATE PALMOLIVE CO,-0.9
COLLABRX INC,-9.8
COLLECTORS UNIVERSE INC,19.7
COLLIERS INTERNATIONAL GROUP INC,-12.7
COLONIAL CALIF INSD MUN FD,-19.1
COLONIAL HIGH INCOME MUN TR,-21.0
COLONIAL INTER HIGH INCOME FD,-23.8
COLONIAL INVESTMENT GRADE MUN TR,-19.6
COLONIAL MUNICIPAL INCOME TRUST,-17.0
COLONY BANKCORP INC,-7.8
COLUMBIA BANKING SYSTEM INC,26.6
COLUMBIA LABORATORIES INC,-28.2
COLUMBIA SPORTSWEAR COMPANY,3.9
COLUMBUS MCKINNON CORP NY,-13.6
COMCAST CORP NEW,-7.3
COMERICA INC,19.1
COMFORT SYSTEMS USA INC,-12.3
COMMERCE BANCSHARES INC,3.7
COMMERCIAL METALS CO,-35.1
COMMERCIAL VEHICLE GROUP INC,-30.6
COMMONWEALTH REIT,-9.1
COMMTOUCH SOFTWARE LTD,-19.9
COMMUNICATIONS SYSTEMS INC,5.9
COMMUNITY BANK SYSTEM INC,12.3
COMMUNITY BANKERS ACQUISITN CORP,-11.3
COMMUNITY HEALTH SYS INC NEW,-15.1
COMMUNITY PARTNERS BANCORP,-13.9
COMMUNITY TRUST BANCORP INC,3.4
COMMUNITY WEST BANCSHARES,25.9
COMMVAULT SYSTEMS INC,-28.5
COMPANHIA DE SANEAMENTO BASICO,-36.7
COMPANHIA PARANAENSE DE ENERGIA,-20.2
COMPANHIA SIDERURGICA NACIONAL,-38.7
COMPANHIA VALE DO RIO DOCE,-27.9
COMPANIA CERVECERIAS UNIDAS S A,-7.2
COMPANIA DE MINAS BV SA,1.2
COMPASS DIVERSIFIED HOLDINGS,8.6
COMPASS MINERALS INTL INC,-24.4
COMPUGEN LTD,-19.0
COMPUTER PROGRAMS & SYSTEMS INC,6.7
COMPUTER SCIENCES CORP,-14.5
COMPUTER TASK GROUP INC,-6.3
COMPX INTERNATIONAL INC,-22.8
COMSTOCK HOLDING COMPANIES INC,82.2
COMSTOCK RESOURCES INC,-22.9
COMTECH TELECOMMUNICATIONS CORP,7.7
CONAGRA BRANDS INC,-8.5
CONCURRENT COMPUTER CORP NEW,-18.2
CONDOR HOSPITALITY TRUST INC,-9.1
CONMED CORP,0.1
CONNECTICUT WATER SERVICE INC,8.4
CONNS INC,-2.1
CONOCOPHILLIPS,-11.2
CONSOL ENERGY INC,-32.2
CONSOLIDATED COMMS HLDGS INC,-0.2
CONSOLIDATED EDISON INC,5.0
CONSOLIDATED TOMOKA LAND CO,4.6
CONSOLIDATED WATER CO LTD,-25.7
CONSTELLATION BRANDS INC,1.3
CONSTELLATION BRANDS INC,1.7
CONSTELLATION ENERGY PTNRS L L C,-17.3
CONSUMER PORTFOLIO SVCS INC,7.0
CONTANGO OIL AND GAS COMPANY,-24.1
CONTINENTAL MATERIALS CORP,-1.9
CONVERGYS CORP,0.2
COOPER COMPANIES INC,-5.6
COOPER TIRE & RUBBER CO,-10.0
COPA HOLDINGS SA,-14.9
COPART INC,-13.7
CORCEPT THERAPEUTICS INC,-30.6
CORE LABORATORIES NV,-18.4
CORE MARK HOLDING CO INC,-15.3
CORE MOLDING TECHNOLOGIES INC,-17.3
CORECIVIC INC,-6.6
CORELOGIC INC,17.6
CORN PRODUCTS INTERNATIONAL INC,-27.6
CORNERSTONE STRATEGIC VAL FD INC,-44.9
CORNERSTONE TOTAL RETURN FD INC,-57.9
CORNING INC,-23.9
CORPBANCA,-11.0
CORPORATE OFFICE PROPERTIES TR,4.1
CORVEL CORP,-1.7
COSTAR GROUP INC,-14.1
COSTCO WHOLESALE CORP NEW,-3.2
COTT CORP QUEBEC,-43.2
COUSINS PROPERTIES INC,1.0
COVANTA HOLDING CORP,-13.9
COVENANT TRANSPORT INC,-34.8
CRAFT BREW ALLIANCE INC,-6.0
CRANE CO,-19.1
CRAWFORD & CO,6.4
CRAWFORD & CO,-4.3
CRAY INC,-7.7
CREDICORP LTD,-11.5
CREDIT ACCEPTANCE CORP,1.6
CREDIT SUISSE ASSET MGMT INC FD,-9.9
CREDIT SUISSE GROUP,4.1
CREDIT SUISSE HIGH YIELD BOND FD,-22.8
CREE INC,-2.3
CRESTWOOD EQUITY PARTNERS LP,-17.9
CRESUD S A C I F Y A,-4.5
CROCS INC,-13.7
CROSS COUNTRY HEALTHCARE INC,4.0
CROSS TIMBERS ROYALTY TRUST,-3.9
CROSSTEX ENERGY LP,-28.3
CROWN CASTLE INTERNATIONAL CORP,-22.5
CROWN HOLDINGS INC,-19.9
CRYOLIFE INC,-16.9
CRYSTAL ROCK HOLDINGS INC,-10.0
CTRIP COM INTL LTD,-23.2
CUBESMART,-1.8
CUBIC CORP,-11.2
CULLEN FROST BANKERS INC,7.8
CULP INC,-20.6
CUMMINS INC,-32.9
CUMULUS MEDIA INC,-9.2
CURIS INC,-33.9
CURRENCYSHARES AUSTRALIAN DLR TR,-7.5
CURRENCYSHARES BRTSH PND STLG TR,-2.0
CURRENCYSHARES CANADIAN DLR TR,0.1
CURRENCYSHARES EURO TRUST,-3.9
CURRENCYSHARES SWEDISH KRONA TR,-6.9
CURRENCYSHARES SWISS FRANC TRUST,-1.8
CURTISS WRIGHT CORP,-15.6
CUTERA INC,-5.0
CUTWATER SELECT INCOME FD,-16.3
CYANOTECH CORP,-6.9
CYBEROPTICS CORP,3.9
CYCLACEL PHARMACEUTICALS INC,-28.6
CYNOSURE INC,-27.6
CYPRESS SEMICONDUCTOR CORP,-25.5
CYTOKINETICS INC,-8.8
CYTORI THERAPEUTICS INC,-17.4
CYTRX CORP,-15.0
D A G MEDIA INC,11.3
D C A TOTAL RETURN FUND,-25.9
D C P MIDSTREAM PARTNERS LP,-30.9
D C T INDUSTRIAL TRUST INC,0.4
D D R CORP,-3.4
D H T HOLDINGS INC,-21.8
D L H HOLDINGS CORP,-11.8
D M C GLOBAL INC,-24.6
D N P SELECT INCOME FD INC,-13.9
D R HORTON INC,4.5
D S P GROUP INC,-1.3
D S T SYSTEMS INC DEL,-9.3
D S W INC,-5.7
D T E ENERGY CO,-3.6
D T F TAX FREE INCOME INC,-12.7
D W S DREMAN VALUE INC EDGE FD,-26.2
D W S GLOBAL HIGH INC FND INC,-21.6
D W S MULTI MARKET INCOME TRUST,-14.7
D W S MUNICIPAL INCOME TRUST,-17.0
D W S STRATEGIC INCOME TRUST,-11.9
D W S STRATEGIC MUNI INCOME TR,-19.7
D X P ENTERPRISES INC,-9.7
DAILY JOURNAL CORP,1.8
DAKTRONICS INC,-5.0
DANAHER CORP,-14.9
DANAOS CORP,-29.6
DARDEN RESTAURANTS INC,-2.3
DARLING INGREDIENTS INC,-19.1
DASAN ZHONE SOLUTIONS INC,-39.0
DATA I O CORP,-34.5
DATALINK CORP,-26.4
DATARAM CORP,-26.8
DATAWATCH CORP,-6.8
DAVITA HEALTHCARE PARTNERS INC,-0.7
DAWSON GEOPHYSICAL CO NEW,-25.7
DAXOR CORP,-12.6
DEAN FOODS CO NEW,-7.2
DECKERS OUTDOOR CORP,-8.5
DEERE & CO,-29.5
DELAWARE INV NAT MUNI INCOME FD,-18.0
DELAWARE INVESTMENTS DIV & INCM,-21.7
DELAWARE INVESTS COLO MUN INC FD,-11.6
DELAWARE INVTS MINN MUNI INC II,-9.8
DELCATH SYSTEMS INC,-23.0
DELEK U S HOLDINGS INC,17.3
DELTA APPAREL INC,20.1
DELTA NATURAL GAS INC,-8.5
DELTIC TIMBER CORP,3.9
DELUXE CORP,-12.8
DENBURY RESOURCES INC,-23.5
DENNYS CORP,-7.9
DENTSPLY INTERNATIONAL INC NEW,-4.1
DEPOMED INC,-16.5
DESCARTES SYSTEMS GROUP INC,9.2
DESTINATION MATERNITY CORP,-10.7
DESWELL INDUSTRIES INC,-25.4
DEUTSCHE BANK A G,-14.2
DEVON ENERGY CORP NEW,-10.5
DEVRY EDUCATION GROUP INC,-4.0
DEXCOM INC,-10.0
DIAGEO PLC,-5.4
DIAMOND HILL INVESTMENT GRP INC,-1.1
DIAMOND OFFSHORE DRILLING INC,-6.2
DIAMONDROCK HOSPITALITY CO,1.5
DIAMONDS TRUST,-5.9
DIANA SHIPPING INC,-30.6
DICKS SPORTING GOODS INC,-14.5
DIEBOLD INC,-16.5
DIFFERENTIAL BRANDS GROUP INC,-17.9
DIGI INTERNATIONAL INC,-13.6
DIGIRAD CORP,-27.8
DIGITAL POWER CORP,-25.7
DIGITAL REALTY TRUST INC,3.7
DILLARDS INC,-7.3
DIME COMMUNITY BANCSHARES,-7.3
DINEEQUITY INC,-15.1
DIODES INC,-22.4
DISCOVERY COMMUNICATIONS INC,-22.6
DISCOVERY LABORATORIES INC,-6.5
DISH NETWORK CORPORATION,-25.6
DISNEY WALT CO,-5.1
DIXIE GROUP INC,-3.8
DOCUMENT SECURITY SYSTEMS INC,-10.9
DOLBY LABORATORIES INC,-13.5
DOLLAR TREE INC,-5.2
DOMINION RESOURCES INC VA NEW,-1.7
DOMINOS PIZZA INC,-9.4
DONALDSON INC,-4.6
DONEGAL GROUP INC,0.8
DONNELLEY R R & SONS CO,-12.0
DORCHESTER MINERALS LP,-16.7
DORMAN PRODUCTS INC,-2.0
DOUGLAS EMMETT INC,-1.7
DOVER CORP,-17.9
DOVER DOWNS GAMING & ENTMT INC,-2.9
DOVER MOTORSPORTS INC,9.2
DOW CHEMICAL CO,-5.7
DR REDDYS LABORATORIES LTD,-18.4
DRDGOLD LTD,-21.9
DREW INDUSTRIES INC,6.7
DREYFUS HIGH YIELD STRATEGIES FD,-12.0
DREYFUS MUNICIPAL INCOME INC,-14.1
DREYFUS STRATEGIC MUNI BOND FUND,-14.5
DREYFUS STRATEGIC MUNICIPALS INC,-15.9
DRIL QUIP INC,-21.1
DRIVE SHACK INC,-8.5
DRYCLEAN USA INC,6.7
DRYSHIPS INC,-51.7
DU PONT E I DE NEMOURS & CO,-9.3
DUCOMMUN INC DE,-9.8
DUFF & PHELPS UT & CORP BD TR IN,-6.9
DUKE ENERGY CORP NEW,-0.1
DUKE REALTY CORP,-1.8
DUN & BRADSTREET CORP DEL NEW,2.6
DURECT CORP,5.7
DYCOM INDUSTRIES INC,-18.8
DYNATRONICS CORP,-29.4
DYNAVAX TECHNOLOGIES CORP,-13.4
DYNEX CAPITAL INC,-1.1
E COM VENTURES INC,-61.1
E FUTURE HOLDING INC,-36.8
E M C INSURANCE GROUP INC,22.1
E N I SPA,-15.7
E P R PROPERTIES,2.4
E Q T CORP,-26.5
E S C O TECHNOLOGIES INC,1.2
E TRADE FINANCIAL CORP,-12.5
E V ENERGY PARTNERS L P,-27.5
E X C O RESOURCES INC,-38.4
E X F O INC,-22.4
EAGLE BANCORP INC,10.8
EAGLE BULK SHIPPING INC,-47.3
EAGLE MATERIALS INC,-26.7
EARTHLINK HOLDINGS CORP,-8.8
EAST WEST BANCORP INC,9.9
EASTERN CO,-7.8
EASTERN VIRGINIA BANKSHARES INC,-19.1
EASTGROUP PROPERTIES INC,10.3
EASTMAN CHEMICAL CO,-8.0
EATON CORP,-23.2
EATON VANCE CA MUNI BD FD II,-20.7
EATON VANCE CA MUNICIPAL BD FD,-16.5
EATON VANCE CALIF MUN INC TR,-23.9
EATON VANCE CORP,-1.3
EATON VANCE ENHANC EQU INC FD II,-12.5
EATON VANCE ENHANCED EQU INC FD,-16.9
EATON VANCE FLOATING RATE INC TR,-17.0
EATON VANCE INS MA MUN BD FD,-6.2
EATON VANCE INS MI MUN BD FD,-19.1
EATON VANCE INS NJ MUN BD FD,-20.4
EATON VANCE INS NY MUN BD FD II,-17.3
EATON VANCE INS OH MUN BD FD,-10.0
EATON VANCE INS PA MUN BD FD,-3.0
EATON VANCE INSD MUNI BD FD,-15.2
EATON VANCE INSD NY MUNI BD FD,-20.0
EATON VANCE INSURED MUNI BD FD 2,-12.3
EATON VANCE LTD DURATION INC F,-19.0
EATON VANCE MASS MUN INC TR,-6.9
EATON VANCE MICHIGAN MUN INC TR,-5.9
EATON VANCE MUNICIPAL INCOME TR,-8.5
EATON VANCE NEW JERSEY MUN INC T,-15.4
EATON VANCE NEW YORK MUN INC TR,-20.9
EATON VANCE OHIO MUN INC TR,-13.9
EATON VANCE PENN MUN INC TR,-9.0
EATON VANCE SENIOR FLTG RATE TR,-18.4
EATON VANCE SENIOR INCOME TR,-19.4
EATON VANCE SHORT DUR DIV INC FD,-15.7
EATON VANCE TAX ADV GLOB DIV INC,-25.4
EATON VANCE TAX ADV GLOB DIV OPP,-26.1
EATON VANCE TAX ADVAN DIV IN FD,-24.8
EATON VANCE TAX MAN BUY WR OPP F,-21.7
EATON VANCE TAX MAN DIV EQ IN FD,-15.4
EATON VANCE TAX MAN GLBL BUY WR,-17.8
EATON VANCE TAX MNGD BUY WR INC,-14.6
EBAY INC,-10.2
EBIX INC,-14.2
ECHELON CORP,-24.1
ECOLAB INC,6.4
ECOLOGY & ENVIRONMENT INC,7.6
EDAP T M S S A,-28.3
EDGEWATER TECHNOLOGY INC,-1.8
EDGEWELL PERSONAL CARE CO,-5.2
EDISON INTERNATIONAL,-12.4
EDUCATION REALTY TRUST INC,1.1
EDUCATIONAL DEVELOPMENT CORP,-8.8
EDWARDS LIFESCIENCES CORP,-2.4
EHEALTH INC,7.8
EL PASO ELECTRIC CO,-1.4
ELBIT IMAGING LTD,-33.1
ELBIT SYSTEMS LTD,-6.3
ELDORADO GOLD CORP NEW,-21.1
ELECTRO OPTICAL SCIENCES INC,-29.6
ELECTRO SCIENTIFIC INDS INC,-0.5
ELECTRO SENSORS INC,-15.7
ELECTRONIC ARTS INC,-24.2
ELECTRONICS FOR IMAGING INC,-16.0
