Company,9/30/2008
SEVCON INC,-32.3
SEVERN BANCORP INC MD,-0.2
SHAW COMMUNICATIONS INC,-5.2
SHENANDOAH TELECOM COMPANY,27.7
SHERWIN WILLIAMS CO,-2.4
SHILOH INDUSTRIES INC,-1.5
SHINHAN FINANCIAL GROUP CO LTD,-21.0
SHIP FINANCE INTERNATIONAL LTD,-22.5
SHIRE LTD,-9.9
SHOE CARNIVAL INC IN,0.4
SHORE BANCSHARES INC,12.2
SHUTTERFLY INC,3.3
SIEBERT FINANCIAL CORP,-1.0
SIERRA BANCORP,32.0
SIERRA WIRELESS INC,-21.6
SIFCO INDUSTRIES INC,-21.9
SIFY LTD,-39.5
SIGMA DESIGNS INC,-17.0
SIGMATRON INTERNATIONAL INC,-28.5
SIGNATURE BANK NEW YORK N Y,18.0
SIGNET GROUP PLC,2.3
SILGAN HOLDINGS INC,-2.4
SILICOM LTD,-24.5
SILICON LABORATORIES INC,-8.9
SILICON MOTION TECHNOLOGY CORP,-37.1
SILICONWARE PRECISION INDS CO LT,-16.1
SILVER STANDARD RESOURCES INC,-34.2
SILVER WHEATON CORP,-29.3
SIMMONS 1ST NATIONAL CORP,25.9
SIMON PROPERTY GROUP INC NEW,2.2
SIMPSON MANUFACTURING CO INC,-2.6
SIMULATIONS PLUS INC,-19.9
SINA CORP,-17.4
SINCLAIR BROADCAST GROUP INC,-26.1
SINOPEC SHANGHAI PETRO CO LTD,-29.0
SINOVAC BIOTECH LTD,-24.7
SIRIUS SATELLITE RADIO INC,-57.1
SKECHERS U S A INC,-12.0
SKYLINE CORP,16.4
SKYWEST INC,-6.3
SKYWORKS SOLUTIONS INC,-13.8
SMITH & NEPHEW P L C,-11.6
SMITH & WESSON HOLDING CORP,-34.0
SMITH A O CORP,-4.8
SMITH MICRO SOFTWARE INC,-6.2
SMUCKER J M CO,2.7
SNAP ON INC,-7.6
SOCIEDAD QUIMICA & MINERA CHL SA,-34.2
SOHU COM INC,-26.0
SOLITARIO EXPLOR & ROYALTY CORP,-16.5
SONIC AUTOMOTIVE INC,-20.3
SONIC CORP,0.6
SONIC FOUNDRY INC,-25.0
SONOCO PRODUCTS CO,-14.1
SONUS NETWORKS INC,-14.8
SONY CORP,-18.5
SOTHEBYS,-25.5
SOURCE CAPITAL INC,-6.9
SOUTH JERSEY INDS INC,0.8
SOUTHERN CO,0.5
SOUTHERN COPPER CORP,-25.3
SOUTHERN NATIONAL BANCORP VA INC,3.8
SOUTHSIDE BANCSHARES INC,15.9
SOUTHWEST AIRLINES CO,-4.7
SOUTHWEST BANCORP INC OKLA,5.5
SOUTHWEST GAS CORP,-0.3
SOUTHWEST GEORGIA FINANCIAL CORP,-11.2
SOUTHWESTERN ENERGY CO,-20.4
SPAN AMERICA MEDICAL SYSTEMS INC,-7.3
SPANISH BROADCASTING SYSTEM INC,-7.3
SPARTAN MOTORS INC,-32.8
SPARTAN STORES INC,9.4
SPARTON CORP,-38.8
SPDR GOLD TRUST,4.1
SPDR INDEX SHARES FUNDS,-11.8
SPDR INDEX SHARES FUNDS,-11.9
SPDR INDEX SHARES FUNDS,-12.8
SPDR S & P 500 E T F TRUST,-9.4
SPDR SERIES TRUST,-11.5
SPDR SERIES TRUST,-7.6
SPDR SERIES TRUST,-12.8
SPDR SERIES TRUST,-6.6
SPDR SERIES TRUST,-16.9
SPDR SERIES TRUST,-4.6
SPDR SERIES TRUST,-0.5
SPDR SERIES TRUST,4.0
SPDR SERIES TRUST,-13.2
SPDR SERIES TRUST,-10.2
SPDR SERIES TRUST,3.7
SPDR SERIES TRUST,-9.3
SPDR SERIES TRUST,-14.9
SPDR SERIES TRUST,-8.2
SPDR SERIES TRUST,-12.5
SPDR SERIES TRUST,-10.7
SPDR SERIES TRUST,-17.5
SPDR SERIES TRUST,0.2
SPDR SERIES TRUST,-6.5
SPDR SERIES TRUST,11.7
SPDR SERIES TRUST,-4.3
SPDR SERIES TRUST,-7.6
SPDR SERIES TRUST,-18.4
SPDR SERIES TRUST,-21.7
SPDR SERIES TRUST,-34.2
SPECTRANETICS CORP,-42.4
SPECTRUM PHARMACEUTICALS INC,-17.5
SPEEDWAY MOTORSPORTS INC,-12.0
SPHERIX INC,21.3
SPIRIT AEROSYSTEMS HOLDINGS INC,-29.5
SPOK HOLDINGS INC,-2.4
ST JOE CO,4.9
ST JUDE MEDICAL INC,-5.1
ST PAUL TRAVELERS COS INC,3.0
STAAR SURGICAL CO,-17.9
STAGE STORES INC,-13.9
STAMPS COM INC,-15.0
STANDARD MOTOR PRODUCTS INC,-10.0
STANDEX INTERNATIONAL CORP,11.0
STANLEY BLACK & DECKER INC,-12.3
STANLEY FURNITURE CO NEW,10.7
STANTEC INC,-17.3
STAPLES INC,-7.0
STAR GAS PARTNERS LP,-18.7
STARBUCKS CORP,-4.4
STARRETT L S CO,-29.3
STARTEK INC,-29.0
STATE AUTO FINANCIAL CORP,-5.3
STATE STREET CORP,-15.6
STATOIL A S A,-22.3
STEALTHGAS INC,-19.6
STEEL DYNAMICS INC,-30.8
STEELCASE INC,-3.2
STEIN MART INC,-1.0
STEPAN CO,-7.2
STERICYCLE INC,-0.7
STERIS CORP,2.2
STERLING CONSTRUCTION CO INC,-12.2
STEWART INFORMATION SVCS CORP,59.0
STIFEL FINANCIAL CORP,22.1
STILLWATER MINING CO,-22.0
STMICROELECTRONICS NV,-22.3
STONE ENERGY CORP,-11.2
STONEMOR PARTNERS L P,-17.0
STONERIDGE INC,-11.4
STRATASYS INC,4.9
STRATTEC SECURITY CORP,-6.3
STRATUS PROPERTIES INC,-5.2
STRAYER EDUCATION INC,-4.6
STREAMLINE HEALTH SOLUTIONS INC,-21.2
STRYKER CORP,-7.3
STURM RUGER & CO INC,-4.9
SUBURBAN PROPANE PARTNERS LP,-12.4
SUFFOLK BANCORP,11.5
SUMMIT FINANCIAL GROUP INC,-2.4
SUMMIT STATE BANK,-8.9
SUN BANCORP INC NJ,14.8
SUN COMMUNITIES INC,2.6
SUN HYDRAULICS CORP,-21.0
SUN LIFE FINANCIAL INC,-7.8
SUNCOR ENERGY INC,-25.8
SUNESIS PHARMACEUTICALS INC,-39.9
SUNLINK HEALTH SYSTEMS INC,-12.0
SUNOCO LOGISTICS PARTNERS,-9.0
SUNOPTA INC,-7.5
SUNPOWER CORP,-27.3
SUNSTONE HOTEL INVESTORS INC NEW,-2.3
SUNTRUST BANKS INC,7.4
SUPERCONDUCTOR TECHNOLOGIES INC,-32.0
SUPERIOR ENERGY SERVICES INC,-33.8
SUPERIOR INDUSTRIES INTL INC,9.0
SUPERIOR UNIFORM GROUP INC,-1.9
SUPERVALU INC,-6.4
SUPPORT COM INC,-14.0
SUPREME INDUSTRIES INC,-24.2
SURMODICS INC,-19.2
SUSSEX BANCORP,2.6
SWISS HELVETIA FUND INC,-12.0
SYKES ENTERPRISES INC,9.0
SYMANTEC CORP,-12.2
SYNALLOY CORP,-12.3
SYNAPTICS INC,-13.4
SYNCHRONOSS TECHNOLOGIES INC,-25.7
SYNERON MEDICAL LTD,-13.7
SYNGENTA A G,-21.2
SYNNEX CORP,-2.8
SYNOPSYS INC,-7.3
SYNOVUS FINANCIAL CORP,13.2
SYNTEL INC,-25.7
SYPRIS SOLUTIONS INC,-27.1
SYSCO CORP,-3.1
SYSTEMAX INC,-8.8
T C F FINANCIAL CORP,14.3
T C PIPELINES L P,-9.5
T C W STRATEGIC INCOME FUND INC,-18.5
T D AMERITRADE HOLDING CORP,-18.4
T E S S C O TECHNOLOGIES INC,-13.0
T I C C CAPITAL CORP,-11.3
T J X COMPANIES INC NEW,-15.8
T O R MINERALS INTL INC,-4.6
T R C COMPANIES INC,-11.9
T ROWE PRICE GROUP INC,-9.1
T S R INC,-11.5
TAITRON COMPONENTS INC,-13.8
TAIWAN FUND INC,-18.6
TAIWAN SEMICONDUCTOR MFG CO LTD,-3.5
TAKE TWO INTERACTIVE SOFTWR INC,-34.6
TANDY LEATHER FACTORY INC,-2.9
TANGER FACTORY OUTLET CENTERS IN,9.1
TANZANIAN ROYALTY EXPL CORP,-31.0
TARGET CORP,-7.5
TASEKO MINES LTD,-37.5
TASER INTERNATIONAL INC,10.0
TAT TECHNOLOGIES LTD,21.0
TATA MOTORS LTD,-22.3
TAUBMAN CENTERS INC,3.9
TAYLOR DEVICES INC,-30.1
TEAM INC,-5.2
TECH DATA CORP,-12.6
TECK COMINCO LTD,-29.8
TEEKAY CORP,-25.8
TEEKAY L N G PARTNERS L P,-31.0
TEEKAY OFFSHORE PARTNERS LP,-28.3
TEJON RANCH CO,8.6
TEL INSTRUMENT ELECTRONICS CORP,-3.2
TELECOM ARGENTINA S A,-7.9
TELECOM ITALIA S P A NEW,-7.6
TELEDYNE TECHNOLOGIES,-8.3
TELEFLEX INC,-1.7
TELEFONICA S A,-3.5
TELEPHONE & DATA SYSTEMS INC,-6.6
TELETECH HOLDINGS INC,-19.3
TEMPLETON DRAGON FUND INC,-14.1
TEMPLETON EMERG MKTS FD,-13.9
TEMPLETON EMERG MKTS INC FD,-21.9
TEMPLETON GLOBAL INCOME FUND,-11.5
TEMPUR PEDIC INTERNATIONAL INC,4.0
TENARIS S A,-31.8
TENET HEALTHCARE CORP,-8.0
TENGASCO INC,-44.6
TENNANT CO,10.0
TENNECO INC DE,-27.2
TERADYNE INC,-16.3
TEREX CORP NEW,-39.3
TERNIUM S A,-47.1
TERRA NITROGEN CO L P,-8.4
TESCO CORP,-38.4
TESORO CORP,-11.1
TESSERA HOLDING CORP,-29.8
TETRA TECH INC,-15.8
TETRA TECHNOLOGIES INC,-37.4
TEVA PHARMACEUTICAL INDS LTD,-3.3
TEXAS CAPITAL BANCSHARES INC,33.0
TEXAS INSTRUMENTS INC,-12.3
TEXAS PACIFIC LAND TRUST,-14.2
TEXAS ROADHOUSE INC,0.1
TEXTRON INC,-28.2
THAI FUND INC,-17.1
THE9 LTD,-8.3
THERAVANCE INC,-8.6
THERMO FISHER SCIENTIFIC INC,-9.2
THESTREET COM,-15.3
THOMSON CORP,-18.9
THOR INDUSTRIES INC,8.0
THRESHOLD PHARMACEUTICALS INC,-29.7
TIDEWATER INC,-8.3
TIFFANY & CO NEW,-19.2
TIMBERLAND BANCORP INC,-3.7
TIME WARNER INC NEW,-19.9
TIMKEN COMPANY,-12.3
TITAN INTERNATIONAL INC ILL,-20.3
TOLL BROTHERS INC,1.4
TOMPKINS FINANCIAL CORP,11.5
TOOTSIE ROLL INDS INC,1.5
TOP IMAGE SYSTEMS LTD,-7.1
TOP SHIPS INC,-11.6
TORCHMARK CORP,0.1
TORO COMPANY,1.1
TORONTO DOMINION BANK ONT,4.7
TORTOISE ENERGY INFRASTRUCT CORP,-25.8
TOTAL S A,-15.6
TOTAL SYSTEM SERVICES INC,-17.3
TOWER SEMICONDUCTOR LTD,-27.5
TOWN SPORTS INTL HOLDINGS INC,-41.8
TOYOTA MOTOR CORP,-2.7
TRACTOR SUPPLY CO NEW,-1.3
TRANS WORLD ENTERTAINMENT CORP,-1.7
TRANSACT TECHNOLOGIES INC,-35.0
TRANSALTA CORP,-21.5
TRANSCANADA CORP,-3.9
TRANSCAT INC,13.3
TRANSDIGM GROUP INC,-8.9
TRANSGLOBE ENERGY CORP,-19.2
TRANSMONTAIGNE PARTNERS L P,-17.1
TRANSOCEAN INC,-13.6
TRANSPORTADORA DE GAS DEL SUR SA,-18.1
TRAVELZOO INC,1.1
TREDEGAR CORP,-9.9
TREEHOUSE FOODS INC,7.0
TREX COMPANY INC,-2.4
TRI CONTINENTAL CORP,-14.3
TRIARC COMPANIES INC,-8.4
TRICO BANCSHARES,31.8
TRIMBLE INC,-23.6
TRINA SOLAR LIMITED,-29.8
TRINITY BIOTECH PLC,-17.1
TRINITY INDUSTRIES INC,-28.5
TRIO TECH INTL,-33.3
TRIUMPH GROUP INC NEW,-16.5
TRUSTCO BANK CORP NY,20.9
TRUSTMARK CORP,8.1
TSAKOS ENERGY NAVIGATION LTD,-14.8
TTM TECHNOLOGIES INC,-17.2
TUCOWS INC,-18.8
TUESDAY MORNING CORP,-1.9
TUPPERWARE BRANDS CORP,-22.0
TURKCELL ILETISIM HIZMETLERI A S,-9.4
TURKISH INVESTMENT FUND INC,-23.2
TWIN DISC INC,-25.1
TYLER TECHNOLOGIES INC,-6.4
TYSON FOODS INC,-17.8
U A L CORP,-20.9
U D R INC,5.5
U F P TECHNOLOGIES INC,-36.0
U G I CORP NEW,-5.6
U M B FINANCIAL CORP,1.3
U M H PROPERTIES INC,-17.3
U Q M TECHNOLOGIES INC,20.9
U S A TRUCK INC,-13.3
U S BANCORP DEL,14.4
U S G CORP,-7.8
U S GLOBAL INVESTORS INC,-28.8
U S PHYSICAL THERAPY INC,-12.4
ULTIMATE SOFTWARE GROUP,-3.7
ULTRA CLEAN HOLDINGS INC,-30.8
ULTRALIFE BATTERIES INC,-33.0
ULTRATECH INC,-18.5
UMPQUA HOLDINGS CORP,6.7
UNDER ARMOUR INC,-5.8
UNICO AMERICAN CORP,-1.8
UNIFI INC,21.3
UNIFIRST CORP,0.2
UNILEVER N V,2.0
UNILEVER PLC,1.5
UNION BANKSHARES CORP,5.7
UNION BANKSHARES INC,2.5
UNION PACIFIC CORP,-15.2
UNISYS CORP,-32.8
UNIT CORP,-26.4
UNITED BANCORP INC OH,9.6
UNITED BANCSHARES INC,-1.5
UNITED BANKSHARES INC,37.0
UNITED COMMUNITY BANCORP IN,17.3
UNITED COMMUNITY BANKS INC GA,13.6
UNITED COMMUNITY FINL CORP OHIO,38.5
UNITED FIRE & CAS CO,-3.9
UNITED GUARDIAN INC,-1.0
UNITED MICROELECTRONICS CORP,-16.3
UNITED NATURAL FOODS INC,30.0
UNITED PARCEL SERVICE INC,-1.9
UNITED RENTALS INC,-5.9
UNITED SECURITY BANKSHARES,13.1
UNITED STATES CELLULAR CORP,-10.3
UNITED STATES ENERGY CORP WY,-16.7
UNITED STATES LIME MINERALS INC,-0.7
UNITED STATES OIL FUND L P,-11.7
UNITED STATES STEEL CORP NEW,-41.7
UNITED TECHNOLOGIES CORP,-8.4
UNITED THERAPEUTICS CORP,-0.9
UNITEDHEALTH GROUP INC,-16.6
UNITIL CORP,-2.6
UNITY BANCORP INC,-30.2
UNIVERSAL CORPORATION,-5.5
UNIVERSAL DISPLAY CORP,-22.7
UNIVERSAL ELECTRONICS INC,-4.7
UNIVERSAL FOREST PRODUCTS INC,6.3
UNIVERSAL HEALTH RLTY INCM TR,7.6
UNIVERSAL HEALTH SERVICES INC,-9.3
UNIVERSAL LOGISTICS HOLDINGS INC,-1.1
UNIVERSAL STNLESS & ALY PRODS IN,-29.3
UNIVERSAL TECHNICAL INSTITUTE IN,-0.6
UNIVEST CORP OF PENNSYLVANIA,28.8
UNUM GROUP,-1.2
URBAN OUTFITTERS INC,-10.5
URSTADT BIDDLE PROPERTIES INC,-6.3
URSTADT BIDDLE PROPERTIES INC,10.1
USANA HEALTH SCIENCES INC,8.3
UTAH MEDICAL PRODUCTS INC,-2.2
UTSTARCOM HOLDINGS CORP,3.4
V C A ANTECH INC,-4.1
V F CORP,-1.7
V S E CORP,-8.0
VAALCO ENERGY INC,-12.6
VAIL RESORTS INC,-20.6
VALERO ENERGY CORP NEW,-12.8
VALHI INC NEW,-1.3
VALLEY NATIONAL BANCORP,5.7
VALMONT INDUSTRIES INC,-22.4
VALSPAR CORP,-5.2
VALUE LINE INC,-12.4
VANDA PHARMACEUTICALS INC,-16.1
VANGUARD INDEX FUNDS,-11.2
VANGUARD INDEX FUNDS,-12.8
VANGUARD INDEX FUNDS,-5.3
VANGUARD INDEX FUNDS,-13.0
VANGUARD INDEX FUNDS,-8.9
VANGUARD INDEX FUNDS,-11.2
VANGUARD INDEX FUNDS,-6.8
VANGUARD INDEX FUNDS,-8.9
VANGUARD INDEX FUNDS,-9.2
VANGUARD INDEX FUNDS,-9.2
VANGUARD INDEX FUNDS,-17.1
VANGUARD INTL EQUITY INDEX FUNDS,-15.6
VANGUARD INTL EQUITY INDEX FUNDS,-9.2
VANGUARD INTL EQUITY INDEX FUNDS,-12.9
VANGUARD SECTOR INDEX FUNDS,-8.9
VANGUARD SECTOR INDEX FUNDS,-1.6
VANGUARD SECTOR INDEX FUNDS,-3.0
VANGUARD SECTOR INDEX FUNDS,-6.0
VANGUARD SECTOR INDEX FUNDS,-13.2
VANGUARD SECTOR INDEX FUNDS,-19.0
VANGUARD SECTOR INDEX FUNDS,-11.4
VANGUARD SECTOR INDEX FUNDS,-15.1
VANGUARD SECTOR INDEX FUNDS,-12.8
VANGUARD SECTOR INDEX FUNDS,-13.9
VANGUARD SPECIALIZED FUND,-6.7
VANGUARD SPECIALIZED FUNDS,-0.2
VANGUARD WHITEHALL FUNDS,-4.7
VARIAN MEDICAL SYSTEMS INC,-9.5
VASCO DATA SEC INTL INC,-25.0
VASCULAR SOLUTIONS INC,-11.0
VECTOR GROUP LTD,2.6
VECTREN CORP,0.4
VEECO INSTRUMENTS INC DEL,-11.9
VENTAS INC,9.9
VERIFONE HOLDINGS INC,-18.0
VERISIGN INC,-18.4
VERIZON COMMUNICATIONS INC,-8.6
VERSAR INC,-23.2
VERTEX PHARMACEUTICALS INC,23.8
VESTIN REALTY MORTGAGE II INC,-22.0
VIACOM INC NEW,-15.7
VIACOM INC NEW,-16.0
VIAD CORP,-7.8
VIASAT INC,-10.1
VICAL INC,-32.7
VICON INDUSTRIES INC,-4.6
VICOR CORPORATION,-11.8
VILLAGE SUPER MARKET INC,6.1
VINA CONCHA Y TORO S A,-11.8
VIRCO MFG CORP,-21.3
VIRTUS GLOBAL DIV & INCOME FD IN,-12.8
VISHAY INTERTECHNOLOGY INC,-25.5
VISTA GOLD CORP,-31.4
VIVUS INC,-6.0
VODAFONE GROUP PLC NEW,-13.5
VONAGE HOLDINGS CORP,-31.8
VORNADO REALTY TRUST,-8.6
VULCAN MATERIALS CO,-0.5
W & T OFFSHORE INC,-22.4
W E C ENERGY GROUP INC,-4.0
W E X INC,0.3
W G L HOLDINGS INC,0.8
W N S HOLDINGS LTD,-27.5
W P C S INTERNATIONAL INC,-30.2
W P CAREY & CO LLC,-12.6
W P P GROUP PLC,-16.7
W S I INDUSTRIES INC,-34.8
WABASH NATIONAL CORP,9.3
WABTEC CORP,-13.3
WADDELL & REED FINANCIAL INC,-23.1
WAL MART STORES INC,1.4
WALGREEN CO,-15.0
WASHINGTON FEDERAL INC,7.1
WASHINGTON REAL ESTATE INVS TR,4.8
WASHINGTON TRUST BANCORP INC,9.1
WASTE MANAGEMENT INC DEL,-10.5
WATERS CORP,-14.8
WATERSTONE FINANCIAL INC,-0.6
WATSCO INC,-1.2
WATSCO INC,-1.8
WATTS WATER TECHNOLOGIES INC,-3.8
WAYNE SAVINGS BANCSHARES INC NEW,-9.5
WAYSIDE TECHNOLOGY GROUP INC,-4.6
WD 40 CO,3.0
WEATHERFORD INTERNATIONAL PLC,-34.8
WEB COM GROUP INC,-10.6
WEBMD HEALTH CORP,-6.1
WEBSTER FINANCIAL CORP,18.4
WEIGHT WATCHERS INTL INC NEW,-7.1
WEINGARTEN REALTY INVESTORS,9.5
WEIS MARKETS INC,-4.9
WELLCARE HEALTH PLANS INC,-13.8
WELLS FARGO & CO NEW,24.0
WERNER ENTERPRISES INC,-4.8
WESBANCO INC,8.6
WESCO INTERNATIONAL INC,-16.3
WEST BANCORPORATION INC,7.4
WEST MARINE INC,20.4
WEST PHARMACEUTICAL SERVICES INC,0.0
WESTAMERICA BANCORPORATION,12.4
WESTAR ENERGY INC,3.0
WESTELL TECHNOLOGIES INC,-22.4
WESTERN ALLIANCE BANCORPORATION,18.9
WESTERN ASSET CLAYMORE INF LN SC,-11.5
WESTERN ASSET CLAYMORE INFL LNKD,-12.2
WESTERN ASSET EMERG MKTS DEBT FD,-23.3
WESTERN ASSET GLOBAL HIGH INC FD,-19.1
WESTERN ASSET HIGH INC FD II INC,-20.7
WESTERN ASSET HIGH INC OPP FUND,-18.1
WESTERN ASSET INCOME FUND,-16.7
WESTERN ASSET INTERMED MUNI FD,-8.4
WESTERN ASSET MANAGED MUNIS FUND,-13.8
WESTERN ASSET MUNI HIGH INC FUND,-12.8
WESTERN ASSET MUNI PARTNERS FUND,-13.4
WESTERN ASSET PREMIER,-15.4
WESTERN ASSET VAR RATE STR FD,-14.8
WESTERN DIGITAL CORP,-21.8
WESTERN NEW ENGLAND BANCORP INC,0.8
WESTERN REFINING INC,11.8
WESTERN UNION CO,-10.7
WESTLAKE CHEMICAL CORP,10.8
WESTMORELAND COAL CO,-21.7
WESTPAC BANKING CORP LTD,-7.4
WESTWOOD HOLDINGS GROUP INC,-0.8
WEYCO GROUP INC,5.3
WEYERHAEUSER CO,9.2
WHIRLPOOL CORP,-2.5
WHITE MOUNTAINS INS GROUP INC,-0.7
WHITING PETROLEUM CORP NEW,-26.0
WHOLE FOODS MARKET INC,9.4
WIDEPOINT CORP,-45.9
WILEY JOHN & SONS INC,-14.7
WILEY JOHN & SONS INC,-15.0
WILLAMETTE VALLEY VINYDS INC,-2.1
WILLBROS GROUP INC,-36.0
WILLDAN GROUP INC,-23.4
WILLIAMS COS,-23.4
WILLIAMS SONOMA INC,-8.5
WILLIS GROUP HOLDINGS LIMITED,-5.5
WILLIS LEASE FINANCE CORP,-9.8
WINDSTREAM CORP,-9.9
WINMARK CORP,-9.5
WINNEBAGO INDUSTRIES INC,14.9
WINTRUST FINANCIAL CORPORATION,26.2
WIPRO LTD,-16.1
WIRELESS TELECOM GROUP INC,-11.3
WISDOMTREE TRUST,-5.3
WISDOMTREE TRUST,-0.6
WISDOMTREE TRUST,-5.6
WISDOMTREE TRUST,-1.9
WISDOMTREE TRUST,-4.8
WISDOMTREE TRUST,1.3
WISDOMTREE TRUST,-11.9
WISDOMTREE TRUST,-13.8
WISDOMTREE TRUST,-11.7
WISDOMTREE TRUST,-10.1
WISDOMTREE TRUST,-9.7
WISDOMTREE TRUST,-9.3
WISDOMTREE TRUST,-8.4
WISDOMTREE TRUST,-10.8
WISDOMTREE TRUST,-6.4
WISDOMTREE TRUST,-5.1
WISDOMTREE TRUST,-6.7
WISDOMTREE TRUST,-15.8
WISDOMTREE TRUST,-10.3
WOLVERINE WORLD WIDE INC,0.9
WOODWARD GOVERNOR CO,-23.9
WOORI BANK,-20.5
WORLD ACCEPTANCE CORP,-7.7
WORLD FUEL SERVICES CORP,-19.9
WORLD WRESTLING ENTMT INC,-2.8
WORTHINGTON INDUSTRIES INC,-14.1
WSFS FINANCIAL CORP,12.2
WVS FINANCIAL CORP,2.7
WYNDHAM WORLDWIDE CORP,-18.5
WYNN RESORTS LTD,-14.4
X C E L ENERGY INC,-1.4
X L CAPITAL LTD,-9.8
XERIUM TECHNOLOGIES INC,-16.5
XEROX CORP,-16.9
XILINX INC,-9.7
XOMA CORP,1.4
Y P F SOCIEDAD ANONIMA,0.5
Y R C WORLDWIDE INC,-33.9
YADKIN FINANCIAL CORP,3.7
YAHOO INC,-10.7
YAMANA GOLD INC,-22.9
YANZHOU COAL MINING CO LTD,-39.3
YORK WATER COMPANY,-11.3
YUM BRANDS INC,-8.6
ZEBRA TECHNOLOGIES CORP,-10.8
ZIMMER BIOMET HOLDINGS INC,-10.8
ZIONS BANCORPORATION,44.2
ZIOPHARM ONCOLOGY INC,19.9
ZIX CORP,-18.7
ZUMIEZ INC,14.4
ZWEIG FUND INC,-17.2
